Iteration,Phase,Loss,Reward,Entropy,WinRate,DealInRate,MeanShantenRed
405,1,0.0978,0.0070,1.2892,0.5604,0.1978,6.5714
406,1,0.1254,0.0081,1.2983,0.7054,0.2558,6.4341
407,1,0.1011,0.0066,1.2609,0.5882,0.1412,6.2353
408,1,0.1236,0.0075,1.3125,0.6446,0.1322,6.4711
409,1,0.1318,0.0080,1.2935,0.6909,0.2000,6.4273
410,1,0.1425,0.0083,1.2741,0.6909,0.1455,6.3818
411,1,0.1027,0.0077,1.2830,0.6283,0.1770,6.2655
412,1,0.1014,0.0067,1.2966,0.6126,0.1892,6.2613
413,1,0.1291,0.0067,1.2794,0.7281,0.2281,6.6579
414,1,0.1194,0.0048,1.3180,0.7255,0.2647,6.6961
415,1,0.1022,0.0071,1.2760,0.6525,0.1780,6.3644
416,1,0.1083,0.0066,1.2854,0.7021,0.1489,6.3936
417,1,0.1264,0.0070,1.2731,0.5935,0.1220,6.5366
418,1,0.1252,0.0071,1.2583,0.7500,0.1562,6.5729
419,1,0.1346,0.0089,1.2718,0.7029,0.2174,6.4275
420,1,0.1007,0.0064,1.3094,0.6145,0.1807,6.5542
421,1,0.1108,0.0071,1.2760,0.6250,0.1484,6.3750
422,1,0.1022,0.0065,1.2392,0.7300,0.1300,6.6800
423,1,0.1034,0.0057,1.2727,0.8190,0.2762,6.8381
424,1,0.0984,0.0068,1.2952,0.6667,0.2000,6.5238
425,1,0.1057,0.0075,1.2797,0.6034,0.2414,6.2586
426,1,0.1271,0.0055,1.2499,0.6640,0.2240,6.5680
427,1,0.0988,0.0055,1.2828,0.6733,0.1287,6.4851
428,1,0.0907,0.0076,1.3076,0.5922,0.2136,6.3981
429,1,0.1332,0.0085,1.3063,0.6077,0.1538,6.1769
430,1,0.1204,0.0069,1.2725,0.6400,0.1700,6.3700
431,1,0.1070,0.0055,1.2562,0.7456,0.2456,6.3860
432,1,0.1170,0.0074,1.3005,0.6695,0.1441,6.2797
433,1,0.1140,0.0043,1.3015,0.4842,0.2737,5.9789
434,1,0.1013,0.0075,1.2938,0.4884,0.1395,6.2248
435,1,0.0910,0.0063,1.2600,0.6422,0.2752,6.5963
436,1,0.1043,0.0049,1.2925,0.6339,0.2143,6.5446
437,1,0.1014,0.0064,1.2966,0.6574,0.1481,6.3148
438,1,0.1293,0.0061,1.3189,0.6283,0.1770,6.2124
439,1,0.1154,0.0074,1.2731,0.5333,0.2667,6.4750
440,1,0.1115,0.0066,1.3219,0.7320,0.2268,6.3505
441,1,0.0980,0.0065,1.2531,0.6154,0.1385,6.4462
442,1,0.1078,0.0068,1.2969,0.6170,0.2340,6.5745
443,1,0.0914,0.0052,1.3387,0.7009,0.2150,6.4299
444,1,0.1141,0.0097,1.2743,0.6417,0.1500,6.3417
445,1,0.1201,0.0040,1.2702,0.5752,0.1770,6.4336
446,1,0.1126,0.0048,1.2430,0.8381,0.1429,7.0571
447,1,0.1281,0.0073,1.2613,0.6733,0.2277,6.2970
448,1,0.0979,0.0062,1.2866,0.4953,0.2430,6.5421
449,1,0.1110,0.0069,1.2843,0.6460,0.1947,6.3274
450,1,0.1058,0.0078,1.2740,0.6891,0.1176,6.4874
451,1,0.1059,0.0062,1.2799,0.7156,0.1835,6.3028
452,1,0.1086,0.0080,1.2460,0.6476,0.2667,6.6476
453,1,0.0990,0.0061,1.3185,0.6055,0.2202,6.3028
454,1,0.0991,0.0071,1.2399,0.6486,0.1622,6.4144
455,1,0.1307,0.0081,1.2320,0.6032,0.1667,6.5794
456,1,0.0963,0.0060,1.2894,0.7500,0.1957,6.6630
457,1,0.0842,0.0057,1.2371,0.6514,0.1651,6.6055
458,1,0.1163,0.0074,1.2693,0.6306,0.1712,6.4234
459,1,0.1192,0.0093,1.2779,0.7059,0.1345,6.4622
460,1,0.1282,0.0084,1.2825,0.6283,0.2743,6.4071
461,1,0.1128,0.0077,1.2556,0.5755,0.1509,6.3019
462,1,0.1243,0.0093,1.2950,0.6364,0.1000,6.3545
463,1,0.1213,0.0065,1.3015,0.5088,0.2368,6.3509
464,1,0.1173,0.0078,1.3026,0.7043,0.2348,6.3043
465,1,0.1077,0.0056,1.3056,0.6903,0.2124,6.2832
466,1,0.1252,0.0082,1.2968,0.6293,0.2328,6.3276
467,1,0.0911,0.0059,1.2785,0.5408,0.1939,6.5408
468,1,0.1247,0.0075,1.3017,0.6667,0.1583,6.3250
469,1,0.1046,0.0076,1.2731,0.5946,0.1892,6.3153
470,1,0.1182,0.0079,1.2933,0.6810,0.1983,6.5086
471,1,0.1054,0.0067,1.2813,0.6435,0.2087,6.5043
472,1,0.1291,0.0084,1.2487,0.6569,0.2059,6.3431
473,1,0.1015,0.0058,1.2340,0.7143,0.1633,6.5612
474,1,0.1097,0.0076,1.2983,0.6210,0.1935,6.4919
475,1,0.1122,0.0078,1.2804,0.5315,0.1802,6.2252
476,1,0.1036,0.0067,1.3097,0.5849,0.1698,6.3774
477,1,0.0985,0.0077,1.2718,0.5760,0.1840,6.2080
478,1,0.1077,0.0072,1.2831,0.6574,0.1111,6.6019
479,1,0.1274,0.0094,1.2855,0.5192,0.2404,6.2308
480,1,0.1388,0.0086,1.3035,0.6692,0.2331,6.2030
481,1,0.1174,0.0069,1.3076,0.5962,0.1731,6.4231
482,1,0.0980,0.0069,1.2797,0.5631,0.2427,6.2621
483,1,0.1492,0.0039,1.3001,0.7094,0.1453,6.7179
484,1,0.1234,0.0067,1.2762,0.5794,0.2150,6.3925
485,1,0.1162,0.0075,1.2752,0.6339,0.2411,6.5357
486,1,0.1200,0.0064,1.2788,0.6818,0.1818,6.2364
487,1,0.1203,0.0065,1.2829,0.7025,0.1488,6.3058
488,1,0.1086,0.0062,1.2804,0.6154,0.1346,6.3654
489,1,0.1035,0.0068,1.2956,0.5849,0.1604,6.5849
490,1,0.1102,0.0071,1.2952,0.6071,0.1786,6.3125
491,1,0.1081,0.0069,1.2828,0.5688,0.1927,6.2385
492,1,0.0881,0.0075,1.2623,0.6990,0.1942,6.5631
493,1,0.1257,0.0083,1.2606,0.6475,0.1639,6.3934
494,1,0.0905,0.0066,1.2883,0.7232,0.1607,6.2411
495,1,0.1344,0.0094,1.2935,0.5702,0.1736,6.2810
496,1,0.1123,0.0053,1.2776,0.5238,0.2143,6.4762
497,1,0.1199,0.0093,1.2451,0.6512,0.2481,6.3411
498,1,0.1099,0.0061,1.2702,0.5000,0.1273,6.7364
499,1,0.1149,0.0090,1.2860,0.5700,0.1300,6.2300
500,1,0.1168,0.0083,1.2784,0.6803,0.0984,6.3115
501,1,0.1011,0.0073,1.3051,0.6542,0.1495,6.3271
502,1,0.1063,0.0074,1.2477,0.6949,0.1271,6.7542
503,1,0.1105,0.0066,1.2879,0.6720,0.1120,6.2720
504,1,0.1215,0.0055,1.2817,0.5181,0.1566,6.4096
505,1,0.1177,0.0073,1.2546,0.5537,0.1488,6.4793
506,1,0.1098,0.0087,1.2773,0.7946,0.1339,6.3393
507,1,0.1009,0.0062,1.2996,0.5045,0.1712,6.2342
508,1,0.1049,0.0054,1.3048,0.6000,0.1250,6.3667
509,1,0.1156,0.0066,1.2820,0.7011,0.1724,6.5517
510,1,0.1079,0.0070,1.2859,0.5299,0.1716,6.1791
511,1,0.0933,0.0073,1.2862,0.6180,0.1910,6.4944
512,1,0.0947,0.0074,1.2639,0.5635,0.2460,6.1429
513,1,0.0971,0.0075,1.2451,0.7545,0.1727,6.6273
514,1,0.1106,0.0064,1.2781,0.6637,0.2035,6.2655
515,1,0.1030,0.0074,1.2792,0.6583,0.2000,6.1167
516,1,0.0923,0.0070,1.2820,0.7158,0.1684,6.5474
517,1,0.1150,0.0046,1.2619,0.6103,0.1471,6.1985
518,1,0.1133,0.0068,1.2683,0.7100,0.1500,6.5000
519,1,0.0957,0.0064,1.2673,0.6071,0.2321,6.5982
520,1,0.1180,0.0047,1.2937,0.4854,0.1262,6.2913
521,1,0.1052,0.0086,1.2819,0.7787,0.1230,6.1639
522,1,0.0937,0.0057,1.2981,0.6727,0.1636,6.2727
523,1,0.1111,0.0084,1.3113,0.5630,0.1849,6.3529
524,1,0.1082,0.0060,1.3174,0.7200,0.1800,6.3200
525,1,0.0957,0.0063,1.3065,0.6471,0.1597,6.2353
526,1,0.1109,0.0052,1.2883,0.7576,0.1515,6.2222
527,1,0.1165,0.0074,1.3012,0.5492,0.2131,6.3852
528,1,0.1115,0.0067,1.2907,0.4667,0.1429,6.1429
529,1,0.1122,0.0059,1.2676,0.6000,0.1680,6.1680
530,1,0.1207,0.0086,1.2780,0.6200,0.1800,6.3900
531,1,0.1094,0.0063,1.2973,0.5820,0.2705,6.5000
532,1,0.1130,0.0040,1.3063,0.7212,0.2404,6.5577
533,1,0.1313,0.0073,1.2477,0.5833,0.2000,6.5083
534,1,0.1075,0.0065,1.2841,0.6354,0.1979,6.4271
535,1,0.1147,0.0071,1.2691,0.5378,0.1429,6.2857
536,1,0.0917,0.0068,1.3206,0.4828,0.2069,6.1379
537,1,0.1052,0.0080,1.2980,0.6372,0.1858,6.3451
538,1,0.1282,0.0072,1.2783,0.5888,0.1495,6.4112
539,1,0.1239,0.0059,1.3040,0.5982,0.1339,6.0179
540,1,0.0981,0.0078,1.2931,0.7500,0.1583,6.4417
541,1,0.1086,0.0077,1.2855,0.6000,0.1579,6.2105
542,1,0.1011,0.0072,1.2577,0.6639,0.1849,6.3529
543,1,0.1127,0.0066,1.2963,0.6931,0.1980,6.6535
544,1,0.1118,0.0064,1.3288,0.6303,0.2521,6.3613
545,1,0.1187,0.0049,1.2694,0.6100,0.1400,6.7100
546,1,0.0970,0.0076,1.2808,0.5739,0.1913,6.5739
547,1,0.1131,0.0053,1.3075,0.6491,0.2105,6.3070
548,1,0.0821,0.0071,1.2622,0.7257,0.2035,6.3274
549,1,0.1136,0.0071,1.3076,0.5897,0.1538,6.1026
550,1,0.1225,0.0062,1.2722,0.6636,0.1364,6.6455
551,1,0.1133,0.0078,1.2966,0.4953,0.1776,6.2523
552,1,0.1147,0.0058,1.2960,0.6471,0.1933,6.4874
553,1,0.1106,0.0049,1.2671,0.5804,0.1875,6.6696
554,1,0.1292,0.0077,1.2824,0.6632,0.1789,6.2211
555,1,0.0943,0.0067,1.2790,0.7248,0.2477,6.7523
556,1,0.1246,0.0081,1.2675,0.5789,0.2105,6.4912
557,1,0.1123,0.0070,1.2702,0.5962,0.1250,6.3942
558,1,0.1154,0.0086,1.2943,0.5897,0.1709,6.0342
559,1,0.0978,0.0069,1.3186,0.5285,0.1626,6.4146
560,1,0.1093,0.0057,1.2909,0.6837,0.2245,6.4184
561,1,0.1078,0.0082,1.2785,0.5872,0.2202,6.4771
562,1,0.1321,0.0099,1.3257,0.6321,0.1509,6.3585
563,1,0.1145,0.0066,1.2753,0.6825,0.1984,6.2698
564,1,0.1215,0.0090,1.2660,0.5983,0.0940,6.3675
565,1,0.1218,0.0088,1.2981,0.6019,0.1456,6.3495
566,1,0.1337,0.0079,1.2985,0.5882,0.1345,6.3277
567,1,0.1187,0.0067,1.2808,0.5000,0.2041,6.2857
568,1,0.1118,0.0058,1.2690,0.7120,0.1680,6.3920
569,1,0.0990,0.0068,1.2698,0.5843,0.1573,6.5955
570,1,0.1115,0.0062,1.2596,0.6031,0.1450,6.4809
571,1,0.1006,0.0061,1.2839,0.6975,0.2101,6.2689
572,1,0.0998,0.0078,1.2879,0.7011,0.2414,6.3678
573,1,0.1357,0.0083,1.2725,0.6970,0.1970,6.4318
574,1,0.0969,0.0048,1.2979,0.6848,0.1739,6.7826
575,1,0.1238,0.0092,1.2737,0.7165,0.1732,6.4803
576,1,0.1060,0.0058,1.2974,0.7778,0.1414,6.5455
577,1,0.1127,0.0069,1.2971,0.6441,0.1525,6.5678
578,1,0.1137,0.0056,1.2865,0.6250,0.2604,6.5938
579,1,0.1086,0.0071,1.2745,0.7563,0.1597,6.6555
580,1,0.1097,0.0060,1.2712,0.6400,0.2100,6.3900
581,1,0.1179,0.0059,1.2861,0.8250,0.1917,6.5667
582,1,0.0939,0.0054,1.2877,0.6226,0.2075,6.6132
583,1,0.1279,0.0066,1.2891,0.6637,0.1416,6.7522
584,1,0.1111,0.0081,1.2410,0.6609,0.2000,6.3478
585,1,0.1040,0.0063,1.2768,0.7113,0.1959,6.7216
586,1,0.1027,0.0076,1.2469,0.6381,0.2190,6.3429
587,1,0.0979,0.0062,1.2608,0.6000,0.2000,6.6609
588,1,0.1121,0.0060,1.2844,0.7500,0.2500,6.7589
589,1,0.0935,0.0071,1.2827,0.6814,0.1150,6.1416
590,1,0.1198,0.0085,1.2524,0.6891,0.2017,6.3697
591,1,0.1032,0.0065,1.2929,0.5312,0.1875,6.1667
592,1,0.1048,0.0069,1.2609,0.5748,0.1496,6.5354
593,1,0.1223,0.0074,1.2869,0.6465,0.1818,6.7071
594,1,0.0908,0.0059,1.2903,0.5536,0.1875,6.5536
595,1,0.1029,0.0061,1.3052,0.6339,0.1696,6.3125
596,1,0.1141,0.0074,1.2640,0.6408,0.1942,6.5631
597,1,0.1149,0.0063,1.2789,0.6667,0.2929,6.7980
598,1,0.1182,0.0065,1.2885,0.6350,0.2336,6.2847
599,1,0.0969,0.0059,1.2872,0.7245,0.1735,6.6429
600,1,0.1306,0.0100,1.2722,0.5950,0.1653,6.3802
601,1,0.1143,0.0063,1.3010,0.6907,0.1649,6.3093
602,1,0.1083,0.0062,1.2840,0.7193,0.1579,6.5965
603,1,0.1250,0.0088,1.2887,0.6639,0.1429,6.1849
604,1,0.1238,0.0080,1.2756,0.7431,0.2294,6.5138
605,1,0.1248,0.0064,1.2710,0.6273,0.1636,6.3818
606,1,0.0940,0.0052,1.2891,0.6019,0.2427,6.7087
607,1,0.0968,0.0071,1.2946,0.5977,0.2644,6.2989
608,1,0.1244,0.0043,1.2929,0.6241,0.1429,6.3459
609,1,0.1276,0.0074,1.3144,0.5667,0.1167,6.2667
610,1,0.1105,0.0059,1.2844,0.7115,0.1250,6.4135
611,1,0.1043,0.0058,1.2896,0.5250,0.2333,6.2500
612,1,0.1361,0.0072,1.2533,0.7009,0.1402,6.4953
613,1,0.0936,0.0058,1.2715,0.6078,0.2255,6.5294
614,1,0.0974,0.0080,1.2876,0.7000,0.1385,6.3000
615,1,0.1246,0.0077,1.2881,0.5500,0.2250,6.4167
616,1,0.0907,0.0069,1.2882,0.5844,0.2468,6.8182
617,1,0.1040,0.0063,1.2586,0.6121,0.2155,6.6034
618,1,0.1311,0.0080,1.2688,0.6016,0.2266,6.3359
619,1,0.0973,0.0057,1.3009,0.7159,0.1477,6.3636
620,1,0.0949,0.0061,1.2992,0.5556,0.2143,6.1905
621,1,0.1025,0.0047,1.2683,0.7345,0.2478,6.4248
622,1,0.1131,0.0058,1.2965,0.6638,0.1466,6.5000
623,1,0.1009,0.0059,1.2745,0.6277,0.1809,6.6064
624,1,0.0946,0.0070,1.2707,0.7840,0.2240,6.4880
625,1,0.0927,0.0054,1.2868,0.6040,0.1683,6.5545
626,1,0.0941,0.0068,1.2845,0.6667,0.1754,6.4737
627,1,0.1314,0.0082,1.3011,0.5577,0.1346,6.2596
628,1,0.1223,0.0074,1.2831,0.6048,0.1855,6.2500
629,1,0.0960,0.0060,1.2975,0.6429,0.1190,6.3333
630,1,0.1153,0.0074,1.2728,0.5942,0.1884,6.1667
631,1,0.1303,0.0068,1.3068,0.6330,0.1743,6.3211
632,1,0.1124,0.0060,1.2471,0.7429,0.2571,6.7238
633,1,0.1063,0.0066,1.2998,0.6100,0.1500,6.4700
634,1,0.1028,0.0052,1.2674,0.7311,0.1933,6.7311
635,1,0.1109,0.0073,1.2554,0.4623,0.2170,6.4151
636,1,0.1133,0.0060,1.3052,0.6455,0.2091,6.7818
637,1,0.1239,0.0066,1.2820,0.6226,0.1887,6.4057
638,1,0.1075,0.0071,1.2515,0.6607,0.1786,6.6429
639,1,0.1268,0.0056,1.2968,0.6667,0.1759,6.2593
640,1,0.1479,0.0100,1.2767,0.6090,0.0977,6.2331
641,1,0.1206,0.0065,1.2987,0.5577,0.1731,6.5385
642,1,0.1174,0.0072,1.2965,0.6139,0.1980,6.3267
643,1,0.1031,0.0068,1.3200,0.5794,0.2460,6.3968
644,1,0.0920,0.0062,1.2903,0.5490,0.2353,6.4608
645,1,0.1155,0.0070,1.2639,0.6857,0.2190,6.7238
646,1,0.1244,0.0088,1.2709,0.6780,0.2119,6.2203
647,1,0.1149,0.0062,1.3055,0.5941,0.1683,6.2475
648,1,0.1174,0.0088,1.2572,0.5818,0.1545,6.3000
649,1,0.1032,0.0062,1.2457,0.6522,0.1826,6.4609
650,1,0.1216,0.0040,1.2680,0.7647,0.1078,6.7157
651,1,0.1193,0.0057,1.2862,0.6721,0.1803,6.4262
652,1,0.1123,0.0068,1.2891,0.6071,0.1518,6.3482
653,1,0.1119,0.0053,1.3041,0.6731,0.1827,6.4423
654,1,0.1232,0.0071,1.2962,0.4909,0.1000,6.5364
655,1,0.1001,0.0065,1.2714,0.6190,0.1048,6.4190
656,1,0.0855,0.0082,1.2666,0.6050,0.1008,6.3613
657,1,0.1348,0.0094,1.2605,0.6239,0.2051,6.5214
658,1,0.1199,0.0055,1.2740,0.6389,0.1852,6.3056
659,1,0.1115,0.0072,1.2438,0.6870,0.2261,6.5217
660,1,0.1219,0.0080,1.2563,0.6263,0.1313,6.4141
661,1,0.1079,0.0076,1.2861,0.7083,0.1833,6.3833
662,1,0.1150,0.0061,1.3069,0.6538,0.1923,6.3942
663,1,0.1085,0.0046,1.3081,0.6311,0.2524,6.4272
664,1,0.0964,0.0065,1.2800,0.6167,0.2167,6.3750
665,1,0.0978,0.0070,1.2932,0.7049,0.0984,6.5738
666,1,0.0951,0.0052,1.2309,0.6632,0.2421,6.5579
667,1,0.1012,0.0057,1.2479,0.5982,0.1875,6.7321
668,1,0.0999,0.0060,1.2616,0.6442,0.1731,6.8462
669,1,0.1011,0.0052,1.2972,0.5310,0.1770,6.1593
670,1,0.0998,0.0059,1.3049,0.5246,0.1557,6.2459
671,1,0.1073,0.0057,1.2888,0.5050,0.1683,6.3069
672,1,0.1288,0.0077,1.2559,0.7000,0.1333,6.2333
673,1,0.1078,0.0078,1.3077,0.5963,0.2294,6.5413
674,1,0.1320,0.0077,1.2841,0.7321,0.1518,6.2589
675,1,0.1356,0.0077,1.3316,0.4952,0.2190,6.5714
676,1,0.1115,0.0068,1.2678,0.6505,0.1748,6.6311
677,1,0.0889,0.0052,1.2760,0.6949,0.1864,6.6356
678,1,0.0996,0.0054,1.2945,0.6196,0.1630,6.6848
679,1,0.1227,0.0086,1.2670,0.6261,0.1565,6.6087
680,1,0.1071,0.0051,1.2620,0.6455,0.2000,6.5818
681,1,0.0896,0.0059,1.2908,0.6847,0.1261,6.1351
682,1,0.0841,0.0073,1.2889,0.6579,0.1491,6.3509
683,1,0.0953,0.0055,1.2528,0.6471,0.1275,6.6765
684,1,0.1113,0.0061,1.2482,0.6891,0.1345,6.5966
685,1,0.1203,0.0074,1.3157,0.7228,0.1881,6.7228
686,1,0.1329,0.0069,1.2850,0.5263,0.2281,6.3246
687,1,0.1130,0.0082,1.2701,0.6903,0.1593,6.3363
688,1,0.1209,0.0070,1.2745,0.6724,0.2069,6.4569
689,1,0.0862,0.0067,1.2651,0.6931,0.1089,6.5743
690,1,0.0941,0.0072,1.2772,0.5273,0.2091,6.2909
691,1,0.1099,0.0063,1.2703,0.6810,0.1983,6.7414
692,1,0.1175,0.0035,1.2814,0.5604,0.1868,6.7473
693,1,0.1175,0.0060,1.2513,0.6694,0.1074,6.6198
694,1,0.1164,0.0066,1.2704,0.6838,0.1368,6.5385
695,1,0.1185,0.0059,1.2828,0.7692,0.1442,6.2308
696,1,0.1277,0.0054,1.3038,0.6132,0.1698,6.5283
697,1,0.0993,0.0076,1.2641,0.5660,0.2075,6.3774
698,1,0.1055,0.0070,1.2885,0.6415,0.2170,6.5755
699,1,0.1043,0.0066,1.2733,0.5271,0.1318,6.3023
700,1,0.1464,0.0082,1.2851,0.5327,0.2243,6.4860
701,1,0.1100,0.0057,1.2725,0.5701,0.1776,6.5981
702,1,0.1096,0.0066,1.2774,0.6228,0.2018,6.4386
703,1,0.1165,0.0067,1.2959,0.6923,0.2404,6.5096
704,1,0.0980,0.0077,1.2638,0.5478,0.1565,6.5304
705,1,0.1030,0.0078,1.2702,0.6636,0.1545,6.3273
706,1,0.1220,0.0081,1.2942,0.6885,0.2213,6.4426
707,1,0.1253,0.0063,1.2977,0.5914,0.1828,6.3011
708,1,0.1124,0.0063,1.2393,0.6372,0.1327,6.3805
709,1,0.0934,0.0078,1.2670,0.6250,0.1696,6.5893
710,1,0.1213,0.0067,1.3072,0.6583,0.2167,6.6167
711,1,0.0860,0.0065,1.2876,0.7625,0.1875,6.5500
712,1,0.1019,0.0066,1.2404,0.5532,0.1135,6.3759
713,1,0.1153,0.0079,1.2656,0.5714,0.2088,6.4505
714,1,0.1043,0.0071,1.2682,0.5606,0.2045,6.3939
715,1,0.1072,0.0066,1.2891,0.5979,0.1753,6.4330
716,1,0.1015,0.0052,1.2834,0.6210,0.2097,6.5726
717,1,0.1067,0.0058,1.2817,0.4742,0.1340,6.5361
718,1,0.1391,0.0087,1.3378,0.5361,0.1340,6.2371
719,1,0.1236,0.0071,1.2749,0.5333,0.1852,6.3185
720,1,0.1128,0.0044,1.3130,0.6458,0.1979,6.4583
721,1,0.1038,0.0082,1.2894,0.5536,0.1071,6.2679
722,1,0.0971,0.0067,1.2696,0.5676,0.1982,6.6216
723,1,0.1204,0.0094,1.2889,0.5714,0.1810,6.4857
724,1,0.0982,0.0065,1.3267,0.5667,0.1667,6.1750
725,1,0.0913,0.0073,1.2834,0.7179,0.2051,6.2479
726,1,0.1205,0.0068,1.2553,0.6296,0.1759,6.3889
727,1,0.1083,0.0055,1.2818,0.7358,0.1792,6.4528
728,1,0.1090,0.0052,1.3184,0.6777,0.1240,6.2562
729,1,0.1191,0.0064,1.2647,0.5203,0.1463,6.3171
730,1,0.0913,0.0059,1.2893,0.7755,0.1939,6.2653
731,1,0.1132,0.0056,1.2682,0.6327,0.1531,6.3367
732,1,0.1162,0.0061,1.3465,0.6148,0.1556,6.3556
733,1,0.1232,0.0061,1.2775,0.5714,0.2286,6.6667
734,1,0.1108,0.0070,1.2425,0.6000,0.2182,6.4455
735,1,0.1225,0.0077,1.2523,0.7018,0.1404,6.4474
736,1,0.1139,0.0074,1.2766,0.5437,0.1942,6.5049
737,1,0.1226,0.0069,1.2693,0.6174,0.1217,6.2957
738,1,0.0924,0.0062,1.2908,0.6337,0.1881,6.7723
739,1,0.1150,0.0074,1.2744,0.5868,0.1983,6.4793
740,1,0.0912,0.0054,1.2578,0.7379,0.1359,6.4757
741,1,0.1120,0.0078,1.2654,0.6218,0.2101,6.3866
742,1,0.1150,0.0066,1.2800,0.6869,0.2222,6.6061
743,1,0.1347,0.0076,1.2921,0.5690,0.1724,6.4224
744,1,0.1193,0.0053,1.2453,0.6465,0.1212,6.5556
745,1,0.1143,0.0067,1.2910,0.6016,0.1406,6.1328
746,1,0.1131,0.0075,1.2712,0.6598,0.1753,6.4124
747,1,0.1272,0.0085,1.2596,0.6774,0.1613,6.2661
748,1,0.1123,0.0054,1.2753,0.6140,0.1930,6.4912
749,1,0.1052,0.0058,1.2789,0.7723,0.1980,6.6634
750,1,0.0926,0.0066,1.2608,0.6772,0.1890,6.5276
751,1,0.1099,0.0065,1.2899,0.7340,0.1489,6.6277
752,1,0.1037,0.0070,1.2639,0.7797,0.2034,6.2373
753,1,0.1084,0.0061,1.2876,0.6818,0.1136,6.8295
754,1,0.1152,0.0085,1.3129,0.5954,0.1908,6.4504
755,1,0.1040,0.0075,1.2823,0.6117,0.1456,6.2816
756,1,0.1385,0.0063,1.2871,0.6228,0.1667,6.5175
757,1,0.1055,0.0071,1.2949,0.5833,0.2292,6.3229
758,1,0.1338,0.0086,1.2728,0.6387,0.1345,6.3529
759,1,0.1185,0.0064,1.3112,0.5043,0.1391,6.0522
760,1,0.1030,0.0077,1.2616,0.5500,0.1300,6.2900
761,1,0.1209,0.0071,1.2915,0.6535,0.2126,6.5118
762,1,0.1106,0.0076,1.2280,0.5872,0.2018,6.6881
763,1,0.1106,0.0073,1.2704,0.6392,0.1959,6.7423
764,1,0.1250,0.0063,1.2958,0.5691,0.1057,6.4715
765,1,0.1314,0.0075,1.2889,0.6990,0.1650,6.6117
766,1,0.1306,0.0066,1.2768,0.6491,0.1667,6.2719
767,1,0.1224,0.0051,1.2676,0.7027,0.2793,6.8198
768,1,0.0993,0.0061,1.2532,0.7248,0.1468,6.6972
769,1,0.1067,0.0054,1.2786,0.7174,0.1957,6.6630
770,1,0.0955,0.0062,1.2634,0.5902,0.1230,6.2951
771,1,0.0894,0.0064,1.2700,0.7870,0.1852,6.5370
772,1,0.1096,0.0063,1.2867,0.6837,0.1633,6.6939
773,1,0.1136,0.0056,1.3453,0.5854,0.1545,6.2764
774,1,0.1174,0.0058,1.2835,0.5310,0.1239,6.5133
775,1,0.1362,0.0046,1.2501,0.6182,0.2182,6.4636
776,1,0.1074,0.0086,1.2679,0.5429,0.1619,6.4000
777,1,0.1291,0.0085,1.3196,0.5351,0.1842,6.0877
778,1,0.0991,0.0053,1.2791,0.5586,0.2252,5.9910
779,1,0.1019,0.0084,1.2970,0.5424,0.1525,6.2373
780,1,0.1077,0.0059,1.3145,0.5739,0.2174,6.3826
781,1,0.1291,0.0056,1.2806,0.6796,0.1845,6.4175
782,1,0.1073,0.0091,1.2716,0.5528,0.1545,6.1870
783,1,0.1066,0.0072,1.2823,0.5638,0.1170,6.1489
784,1,0.1093,0.0060,1.2928,0.6129,0.2016,6.6210
785,1,0.1222,0.0058,1.3007,0.5825,0.1262,6.5049
786,1,0.1470,0.0103,1.2561,0.5333,0.1833,6.3083
787,1,0.1241,0.0096,1.2674,0.5577,0.0962,6.0577
788,1,0.1301,0.0059,1.2814,0.7436,0.1966,6.8120
789,1,0.1211,0.0086,1.3031,0.6214,0.1359,6.2039
790,1,0.0974,0.0055,1.2651,0.5702,0.1667,6.3860
791,1,0.1142,0.0066,1.2952,0.4528,0.1415,6.4434
792,1,0.0891,0.0066,1.2967,0.5520,0.1760,6.3120
793,1,0.1136,0.0058,1.2867,0.5545,0.1881,6.6634
794,1,0.1019,0.0054,1.2218,0.6481,0.1944,6.4630
795,1,0.0914,0.0056,1.2517,0.5714,0.2054,6.3929
796,1,0.1180,0.0083,1.2421,0.7395,0.1261,6.6723
797,1,0.0906,0.0066,1.2691,0.6606,0.2110,6.6330
798,1,0.1089,0.0075,1.2552,0.5306,0.2245,6.2143
799,1,0.1036,0.0078,1.2814,0.7054,0.1240,6.4341
800,1,0.1285,0.0076,1.2817,0.5741,0.1667,6.1944
801,1,0.0982,0.0083,1.2691,0.6019,0.1759,6.4444
802,1,0.1198,0.0058,1.3272,0.6552,0.1724,6.0690
803,1,0.1197,0.0055,1.2767,0.6667,0.1481,6.4352
804,1,0.1145,0.0065,1.2735,0.5575,0.1327,6.4425
805,1,0.1182,0.0067,1.2668,0.6727,0.1636,6.5909
806,1,0.1033,0.0042,1.2837,0.7541,0.2459,6.6475
807,1,0.1054,0.0065,1.2575,0.6768,0.1515,6.5657
808,1,0.1153,0.0081,1.2366,0.5728,0.1068,6.6117
809,1,0.1211,0.0078,1.3084,0.5508,0.2203,6.2288
810,1,0.1305,0.0070,1.2876,0.5982,0.1696,6.3661
811,1,0.1256,0.0084,1.3120,0.5678,0.1525,6.2881
812,1,0.1059,0.0039,1.3036,0.6161,0.2768,6.3839
813,1,0.1057,0.0064,1.3070,0.6304,0.1739,6.2174
814,1,0.1180,0.0070,1.2755,0.6535,0.1811,6.3701
