Iteration,Phase,Loss,Reward,Entropy,WinRate,DealInRate,MeanShantenRed
93,1,0.1153,0.0060,1.3050,0.5818,0.1545,6.1182
94,1,0.1131,0.0088,1.2624,0.7091,0.2182,6.7727
95,1,0.1197,0.0072,1.2716,0.7802,0.1868,6.5604
96,1,0.1081,0.0052,1.2734,0.5760,0.2080,6.4240
97,1,0.1107,0.0066,1.2820,0.5833,0.1296,6.3981
98,1,0.1041,0.0061,1.3056,0.6695,0.2373,6.7542
99,1,0.1177,0.0073,1.2907,0.6162,0.2121,6.2929
100,1,0.1255,0.0052,1.2698,0.5920,0.1840,6.3440
101,1,0.1002,0.0060,1.3053,0.5229,0.1284,6.3303
102,1,0.0934,0.0080,1.2820,0.6542,0.2150,6.3925
103,1,0.0926,0.0069,1.2557,0.7094,0.1709,6.4274
104,1,0.0983,0.0046,1.2852,0.6606,0.0734,6.4862
105,1,0.0980,0.0062,1.2706,0.6082,0.1546,6.5052
106,1,0.1339,0.0102,1.2687,0.5932,0.2288,6.4237
107,1,0.0991,0.0058,1.3055,0.6207,0.2069,6.4138
108,1,0.0898,0.0069,1.2827,0.6339,0.1696,6.5179
109,1,0.0860,0.0063,1.2746,0.5586,0.1712,6.7748
110,1,0.0866,0.0074,1.2743,0.4205,0.1818,6.3068
111,1,0.1218,0.0066,1.2545,0.6693,0.1339,6.5906
112,1,0.1038,0.0074,1.2920,0.5673,0.1731,6.3365
113,1,0.1265,0.0052,1.2976,0.5739,0.2174,6.2957
114,1,0.0847,0.0062,1.2997,0.6916,0.1308,6.5140
115,1,0.1128,0.0076,1.2881,0.6068,0.0855,6.1966
116,1,0.0967,0.0076,1.3099,0.5833,0.1333,6.2500
117,1,0.1084,0.0054,1.2843,0.5982,0.1429,6.3661
118,1,0.0758,0.0066,1.2696,0.6289,0.1134,6.7423
119,1,0.0952,0.0055,1.2872,0.6228,0.1842,6.2719
120,1,0.0940,0.0063,1.2903,0.6518,0.2500,6.6071
121,1,0.1077,0.0067,1.3039,0.5185,0.1667,6.3056
122,1,0.1423,0.0071,1.2685,0.7040,0.1680,6.5360
123,1,0.1016,0.0056,1.3250,0.6392,0.1546,6.7113
124,1,0.1411,0.0079,1.2591,0.6789,0.1651,6.3028
125,1,0.1043,0.0061,1.2609,0.5950,0.1983,6.4050
126,1,0.1126,0.0054,1.2818,0.8200,0.2300,6.9500
127,1,0.1136,0.0060,1.2923,0.6697,0.2110,6.3578
128,1,0.1077,0.0075,1.2719,0.6355,0.1963,6.7850
